filename,nErrors,nErrorsTokens,ntokens,fleshscore,avgWordLength,nSpelling,nSpellingTokens,nLongSentence,nStyleErrors,nStyleperSent,nvoc,similarityprompt,countDemonstrativo,demonstrativoPerSent,countEnclise,enclisePerSent,fstPerson,fstPessoaPerSent,countDiscourseMarkers,discourseSent,understandingGrade,selectinginfoGrade,showknowGrade,solutionGrade,formalGrade,finalGrade
/Users/evelin.amorim/Documents/UFMG/aes/data/a-aids-nao-e-mais-a-mesma-por-que-diminuiu-o-medo-da-doenca/xml/a-aids-ainda-nao-acabou.xml,19,0.0468,406.0,97.13844758033756,52.0,15.0,0.03694581280788178,12.0,22,1.0,203,0.64,2,0.16666667,3,0.25,0,0.0,14,1.1666666,2.0,2.0,1.5,0.5,1.0,7.0
/Users/evelin.amorim/Documents/UFMG/aes/data/a-aids-nao-e-mais-a-mesma-por-que-diminuiu-o-medo-da-doenca/xml/a-aids-e-seu-contagio.xml,3,0.0204,147.0,101.50439077377322,52.0,10.0,0.06802721088435375,6.0,6,0.0,84,1.60,0,0.0,4,0.44444445,1,0.11111111,4,0.44444445,1.0,0.5,0.5,0.5,1.0,3.5
/Users/evelin.amorim/Documents/UFMG/aes/data/a-aids-nao-e-mais-a-mesma-por-que-diminuiu-o-medo-da-doenca/xml/a-aids-estaria-sendo-esquecida.xml,13,0.0688,189.0,81.87309678554536,52.0,7.0,0.037037037037037035,5.0,23,4.0,110,1.67,1,0.2,0,0.0,0,0.0,8,1.6,0.5,0.5,0.5,0.0,0.5,2.0
/Users/evelin.amorim/Documents/UFMG/aes/data/a-aids-nao-e-mais-a-mesma-por-que-diminuiu-o-medo-da-doenca/xml/a-vida-nao-pode-parar.xml,7,0.0139,503.0,99.81789885520936,51.0,26.0,0.05168986083499006,13.0,12,0.0,254,0.61,1,0.07692308,2,0.15384616,1,0.07692308,13,1.0,2.0,2.0,1.5,0.5,2.0,8.0
/Users/evelin.amorim/Documents/UFMG/aes/data/a-aids-nao-e-mais-a-mesma-por-que-diminuiu-o-medo-da-doenca/xml/aids-doenca-fatal.xml,13,0.0516,252.0,102.79928811550141,52.0,8.0,0.031746031746031744,7.0,20,2.0,140,1.05,1,0.14285715,1,0.14285715,0,0.0,12,1.7142857,1.0,0.5,0.5,0.5,0.5,3.0
/Users/evelin.amorim/Documents/UFMG/aes/data/a-aids-nao-e-mais-a-mesma-por-que-diminuiu-o-medo-da-doenca/xml/aids-sem-medo.xml,8,0.0428,187.0,95.01681359767915,53.0,3.0,0.016042780748663103,6.0,9,1.0,114,1.46,1,0.14285715,0,0.0,0,0.0,2,0.2857143,1.0,1.0,0.5,0.5,0.5,3.5
/Users/evelin.amorim/Documents/UFMG/aes/data/a-aids-nao-e-mais-a-mesma-por-que-diminuiu-o-medo-da-doenca/xml/ate-quando-nao-levar-a-serio.xml,5,0.0275,182.0,106.5954429960251,52.0,5.0,0.027472527472527472,7.0,10,1.0,112,1.42,1,0.125,1,0.125,0,0.0,5,0.625,1.0,1.0,1.0,0.0,1.0,4.0
/Users/evelin.amorim/Documents/UFMG/aes/data/a-aids-nao-e-mais-a-mesma-por-que-diminuiu-o-medo-da-doenca/xml/atualmente.xml,14,0.0741,189.0,105.14928923606874,51.0,6.0,0.031746031746031744,7.0,20,2.0,116,1.51,2,0.22222222,0,0.0,0,0.0,6,0.6666667,1.0,0.5,0.5,0.0,1.0,3.0
/Users/evelin.amorim/Documents/UFMG/aes/data/a-aids-nao-e-mais-a-mesma-por-que-diminuiu-o-medo-da-doenca/xml/como-conviver-com-a-aids.xml,21,0.0761,276.0,109.36760664939882,52.0,13.0,0.04710144927536232,9.0,28,3.0,140,0.90,1,0.11111111,1,0.11111111,0,0.0,14,1.5555556,0.5,0.0,0.0,0.5,0.5,1.5
/Users/evelin.amorim/Documents/UFMG/aes/data/a-aids-nao-e-mais-a-mesma-por-que-diminuiu-o-medo-da-doenca/xml/condicoes-para-jovens-sem-medo.xml,24,0.1176,204.0,106.5908845281601,51.0,9.0,0.04411764705882353,7.0,26,4.0,119,1.24,1,0.16666667,1,0.16666667,1,0.16666667,5,0.8333333,0.5,0.0,0.0,0.0,0.5,1.0
/Users/evelin.amorim/Documents/UFMG/aes/data/a-aids-nao-e-mais-a-mesma-por-que-diminuiu-o-medo-da-doenca/xml/convivendo-com-a-aids.xml,3,0.0153,196.0,93.4472483968735,52.0,13.0,0.0663265306122449,8.0,10,1.0,119,1.49,1,0.11111111,0,0.0,0,0.0,4,0.44444445,0.5,0.5,0.5,0.0,1.0,2.5
